year;month;day;data
2009;10;01;[['myös', 'sdp', 'olla', 'saanut', 'säätiötuki'], ['asuntokauppa', 'piristyä', 'syyskuu'], ['luottamus', 'äänestää', 'taas'], ['järistys', 'ravistella', 'taas', 'sumatra'], ['räikkönen', 'ei', 'olla', 'varma', 'f1', 'jatkos']]
2009;10;02;[['kunta', 'karsastaa', 'vaalituenjako'], ['eu', 'sopimus', 'ratketa', 'irlanti'], ['indonesia', 'pyytää', 'apu'], ['elcoteg', 'saama', 'kumppani', 'intia'], ['kupsin', 'liigapaikka', 'saada', 'sinetti']]
2009;10;03;[['rauhanturva', 'rauhanturvaaja', 'loukkaantua', 'isku'], ['talo', 'remontti', 'nykyinen', 'aiempi'], ['irlanti', 'hyväksyä', 'eu', 'sopimus'], ['stubb', 'toiveikas', 'äänestystulos'], ['sebastian', 'vettel', 'paalu', 'suzukassa'], ['hirvonen', 'kolmas', 'loeb', 'johtaa']]
2009;10;04;[['tuhat', 'vastustaa', 'berlusconia'], ['afganistan', 'kuolla', 'amerikkalainen'], ['vettel', 'voittaa', 'räikkönen', 'neljäs'], ['chicago', 'niemi', 'maukas', 'nollapeli']]
2009;10;05;[['sieppaus', 'rangaistusvaade', 'koveta'], ['metso', 'irtisanoa', 'lähes', 'sata'], ['nor', 'norja', 'maailma', 'kehittynyt', 'valtio'], ['valio', 'ruokakerma', 'mainoskielto'], ['u2n', 'keikka', 'lippu', 'myydä', 'nopea']]
2009;10;06;[['lääkelaitos', 'siirto', 'hosua'], ['eu', 'työllisyysraha', 'käyttö', 'ontua'], ['sopimuspalokunta', 'haluta', 'turvata'], ['torino', 'käärinliina', 'olla', 'väärennös'], ['latvala', 'haluta', 'voittaa', 'wales']]
2009;10;07;[['tuotanto', 'lasku', 'jyrketä', 'yhä'], ['vanhanen', 'talolauta', 'tarkastettu'], ['syysmyrsky', 'saapua', 'suomi'], ['ek', 'lyhyt', 'sopimus', 'taantua'], ['koivu', 'maalata', 'wild', 'vahva']]
2009;10;08;[['tarkastaa', 'ja', 'lautatutkinta', 'yhä', 'kesken'], ['richt', 'tukea', 'yhä', 'ohjelma', 'väite'], ['lappi', 'kulta', 'panimo', 'lopettaa'], ['kor', 'korjattu', 'luvut', 'tuotanto', 'laskea', '9', '2'], ['ptt', 'metsäteollisuus', 'alkaa', 'elpyä']]
2009;10;09;[['krp', 'selvittää', 'kaikkonen', 'toimia'], ['ruotsalaissotilas', 'tulittaa'], ['moponuori', 'luottohäiriö', 'kasvu'], ['turku', 'moottoritie', 'sulkea', 'jälleen'], ['rogge', 'jatkaa', 'kokn', 'puhe', 'johtaja']]
2009;10;10;[['viisi', 'kuolla', 'tulipalko', 'naantali'], ['info', 'klo', '127', 'len', 'radiokanavilla'], ['naantali', 'palo', 'harvinainen', 'tuhoisa'], ['turkki', 'ja', 'armenia', 'solmia', 'suhde'], ['pakistan', 'isku', 'tukikohta']]
2009;10;11;[['poli', 'kuulla', 'palopaikka', 'nuora'], ['kul', 'kuljetusala', 'työaikarikkomus'], ['lehdistö', 'hakea', 'oikeus', 'eurooppa'], ['pakistan', 'panttivanki', 'pelastettu'], ['selänne', 'tehdä', 'ducksin', 'kaikki', 'osuma'], ['meksiko', 'chile', 'ja', 'usa', 'mm', 'kisa']]
2009;10;12;[['venäläinen', 'kaahailu', 'lisääntynyt'], ['vaaliraharyhmä', 'viimeistellä', 'työ'], ['etelä', 'odottaa', 'tänään', 'ensilumi'], ['kriisiapu', 'naantali', 'koulu', 'alkaa'], ['lehtinen', 'pala', '5alo', 'loukkaantua']]
2009;10;13;[['vanhanen', 'toimi', 'rayssa', 'selvittää'], ['neste', 'oil', 'vähentää', '351'], ['imf', 'suomi', 'asunto', 'alihintainen'], ['nhl', 'niittymäki', 'uskomatto', 'ilta']]
